Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000123560	PLP1	"GPM6C, PLP, SPG2"	"Proteolipid protein 1"	P60201	X	103773718-103792619	"Cancer-related genes, Disease related genes, Predicted membrane proteins"			"Cancer-related genes, Disease mutation, Hereditary spastic paraplegia, Leukodystrophy, Neurodegeneration"
ENSG00000136535	TBR1		"T-box, brain 1"	Q16650	2	161416094-161425870	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Autism spectrum disorder, Disease mutation, Mental retardation"
ENSG00000204278	TMEM235		"Transmembrane protein 235"	A6NFC5	17	78231310-78240987	"Predicted membrane proteins"			
ENSG00000187730	GABRD		"Gamma-aminobutyric acid type A receptor delta subunit"	O14764	1	2019298-2030758	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000172020	GAP43	"B-50, PP46"	"Growth associated protein 43"	P17677	3	115623324-115721490	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Differentiation, Growth regulation, Neurogenesis"	"Calmodulin-binding, Developmental protein"	
ENSG00000174521	TTC9B	FLJ30373	"Tetratricopeptide repeat domain 9B"	Q8N6N2	19	40216058-40218399	"Predicted secreted proteins"			
ENSG00000198822	GRM3	"GPRC1C, mGlu3, MGLUR3"	"Glutamate metabotropic receptor 3"	Q14832	7	86643914-86864884	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000074317	SNCB		"Synuclein beta"	Q16143	5	176620084-176630556	"Predicted intracellular proteins, Transporters"			
ENSG00000145863	GABRA6		"Gamma-aminobutyric acid type A receptor alpha6 subunit"	Q16445	5	161547063-161702593	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"
ENSG00000184486	POU3F2	"BRN2, OCT7, OTF7, POUF3"	"POU class 3 homeobox 2"	P20265	6	98834592-98839470	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, DNA-binding"	
ENSG00000022355	GABRA1	EJM5	"Gamma-aminobutyric acid type A receptor alpha1 subunit"	P14867	5	161847063-161899981	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000101180	HRH3	GPCR97	"Histamine receptor H3"	Q9Y5N1	20	62214970-62220267	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000132639	SNAP25	"bA416N4.2, dJ1068F16.2, RIC-4, RIC4, SEC9, SNAP, SNAP-25"	"Synaptosome associated protein 25"	P60880	20	10218830-10307418	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Transporters"			"Congenital myasthenic syndrome, Disease mutation, FDA approved drug targets, Mental retardation"
ENSG00000175874	CREG2		"Cellular repressor of E1A stimulated genes 2"	Q8IUH2	2	101345551-101387595	"Predicted secreted proteins"			
ENSG00000186297	GABRA5		"Gamma-aminobutyric acid type A receptor alpha5 subunit"	P31644	15	26866363-26949207	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000147246	HTR2C	"5-HT2C, 5HTR2C, HTR1C"	"5-hydroxytryptamine receptor 2C"	P28335	X	114584078-114910061	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"	Behavior	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000130540	SULT4A1	"hBR-STL-1, SULTX3"	"Sulfotransferase family 4A member 1"	Q9BR01	22	43824509-43862503	"Predicted intracellular proteins"	"Lipid metabolism, Steroid metabolism"	Transferase	
ENSG00000157152	SYN2	"SYNII, SYNIIa, SYNIIb"	"Synapsin II"		3	12004402-12191400	"Predicted intracellular proteins"			
ENSG00000213760	ATP6V1G2	"ATP6G, ATP6G2, Em:AC004181.3, NG38, Vma10"	"ATPase H+ transporting V1 subunit G2"	O95670	6	31544462-31548427	"Predicted intracellular proteins"	"Hydrogen ion transport, Ion transport, Transport"		
ENSG00000146360	GPR6		"G protein-coupled receptor 6"	P46095	6	109978256-109980718	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000273079	GRIN2B	"GluN2B, NMDAR2B"	"Glutamate ionotropic receptor NMDA type subunit 2B"	Q13224	12	13437942-13981957	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets, Mental retardation"
ENSG00000166159	LRTM2		"Leucine rich repeats and transmembrane domains 2"	Q8N967	12	1820267-1836752	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000116147	TNR		"Tenascin R"	Q92752	1	175315194-175743770	"Predicted intracellular proteins, Predicted secreted proteins"	"Cell adhesion"		
ENSG00000006116	CACNG3		"Calcium voltage-gated channel auxiliary subunit gamma 3"	O60359	16	24255553-24362801	"Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	
ENSG00000127585	FBXL16	"C16orf22, Fbl16, MGC33974"	"F-box and leucine rich repeat protein 16"	Q8N461	16	692498-705829	"Predicted intracellular proteins"	"Ubl conjugation pathway"		
ENSG00000170075	GPR37L1	ETBR-LP-2	"G protein-coupled receptor 37 like 1"	O60883	1	202122858-202133592	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000155980	KIF5A	"D12S1889, MY050, NKHC, SPG10"	"Kinesin family member 5A"	Q12840	12	57549998-57586632	"Disease related genes, Predicted intracellular proteins"		"Motor protein"	"Amyotrophic lateral sclerosis, Disease mutation, Epilepsy, Hereditary spastic paraplegia, Neurodegeneration"
ENSG00000188011	RTP5	"C2orf85, CXXC11, FLJ33590, Z3CXXC5"	"Receptor transporter protein 5 (putative)"	Q14D33	2	241869600-241873823	"Predicted membrane proteins"			
ENSG00000230778	ANKRD63		"Ankyrin repeat domain 63"	C9JTQ0	15	40281444-40282586	"Predicted intracellular proteins"			
ENSG00000162975	KCNF1	"IK8, KCNF, kH1, Kv5.1"	"Potassium voltage-gated channel modifier subfamily F member 1"	Q9H3M0	2	10911937-10914225	"Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	
ENSG00000101327	PDYN	"ADCA, PENKB, SCA23"	Prodynorphin	P01213	20	1978757-1994285	"Disease related genes, Potential drug targets, Predicted secreted proteins, Transporters"		"Endorphin, Neuropeptide, Neurotransmitter, Opioid peptide"	"Disease mutation, Neurodegeneration, Spinocerebellar ataxia"
ENSG00000015592	STMN4	RB3	"Stathmin 4"	Q9H169	8	27235323-27258420	"Predicted intracellular proteins"			
ENSG00000008056	SYN1		"Synapsin I"	P17600	X	47571898-47619943	"Disease related genes, Plasma proteins, Predicted intracellular proteins"		Actin-binding	Epilepsy
ENSG00000177108	ZDHHC22	C14orf59	"Zinc finger DHHC-type containing 22"	Q8N966	14	77131270-77142734	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Acyltransferase, Transferase"	
ENSG00000152977	ZIC1	"ZIC, ZNF201"	"Zic family member 1"	Q15915	3	147393422-147510293	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Craniosynostosis, Disease mutation"
ENSG00000165370	GPR101		"G protein-coupled receptor 101"	Q96P66	X	137030148-137031674	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Disease mutation"
ENSG00000110786	PTPN5	"PTPSTEP, STEP, STEP61"	"Protein tyrosine phosphatase, non-receptor type 5"	P54829	11	18727928-18792721	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Protein phosphatase"	
ENSG00000104888	SLC17A7	"BNPI, VGLUT1"	"Solute carrier family 17 member 7"	Q9P2U7	19	49429401-49442360	"Predicted membrane proteins, Transporters"	"Ion transport, Neurotransmitter transport, Sodium transport, Symport, Transport"		
ENSG00000043355	ZIC2	HPE5	"Zic family member 2"	O95409	13	99981772-99986773	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Repressor"	"Disease mutation, Holoprosencephaly"
ENSG00000132692	BCAN	"BEHAB, CSPG7, MGC13038"	Brevican	Q96GW7	1	156641390-156659532	"Plasma proteins, Predicted secreted proteins"			
ENSG00000152910	CNTNAP4	"CASPR4, KIAA1763"	"Contactin associated protein like 4"	Q9C0A0	16	76277278-76559238	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000154146	NRGN	RC3	Neurogranin	Q92686	11	124739846-124747210	"Predicted intracellular proteins"		Calmodulin-binding	
ENSG00000240764	PCDHGC5	PCDH-GAMMA-C5	"Protocadherin gamma subfamily C, 5"	Q9Y5F6	5	141489121-141512979	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000196767	POU3F4	"BRN4, DFN3, DFNX2, OTF9"	"POU class 3 homeobox 4"	P49335	X	83508261-83512127	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Deafness, Disease mutation, Non-syndromic deafness"
ENSG00000099365	STX1B	"STX1B1, STX1B2"	"Syntaxin 1B"	P61266	16	30989256-31010661	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Neurotransmitter transport, Transport"		"Disease mutation, Epilepsy"
ENSG00000205116	TMEM88B		"Transmembrane protein 88B"	A6NKF7	1	1426128-1427787	"Predicted membrane proteins"			
ENSG00000284849	AC079341.3				4	121758930-121765185	"Predicted intracellular proteins"			
ENSG00000185742	C11orf87	"LOC399947, LOH11CR1A, NEURIM1"	"Chromosome 11 open reading frame 87"	Q6NUJ2	11	109422120-109429114	"Predicted membrane proteins"			
ENSG00000146005	PSD2	"DKFZp761B0514, EFA6C"	"Pleckstrin and Sec7 domain containing 2"	Q9BQI7	5	139795821-139844466	"Predicted intracellular proteins"			
ENSG00000091664	SLC17A6	"DNPI, VGLUT2"	"Solute carrier family 17 member 6"	Q9P2U8	11	22338097-22379503	"Predicted membrane proteins, Transporters"	"Ion transport, Neurotransmitter transport, Sodium transport, Symport, Transport"		
ENSG00000142319	SLC6A3	"DAT, DAT1"	"Solute carrier family 6 member 3"	Q01959	5	1392790-1445430	"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"	"Neurotransmitter transport, Symport, Transport"		"Disease mutation, Dystonia, FDA approved drug targets, Neurodegeneration, Parkinsonism"
ENSG00000139287	TPH2	"FLJ37295, NTPH"	"Tryptophan hydroxylase 2"	Q8IWU9	12	71938846-72186618	"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"	"Serotonin biosynthesis"	"Monooxygenase, Oxidoreductase"	"Disease mutation, FDA approved drug targets"
ENSG00000174963	ZIC4		"Zic family member 4"	Q8N9L1	3	147386046-147406860	"Predicted intracellular proteins, Transcription factors"		DNA-binding	
ENSG00000139899	CBLN3		"Cerebellin 3 precursor"	Q6UW01	14	24426532-24430954	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000168993	CPLX1	CPX-I	"Complexin 1"	O14810	4	784957-826198	"Predicted intracellular proteins"	"Exocytosis, Neurotransmitter transport, Transport"		"Disease mutation, Epilepsy"
ENSG00000196361	ELAVL3	"DKFZp547J036, HUC, HUCL, MGC20653, PLE21"	"ELAV like RNA binding protein 3"	Q14576	19	11451326-11481046	"Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein, RNA-binding"	
ENSG00000079841	RIMS1	"CORD7, KIAA0340, RAB3IP2, RIM, RIM1"	"Regulating synaptic membrane exocytosis 1"	Q86UR5	6	71886703-72403143	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Differentiation, Exocytosis, Neurotransmitter transport, Sensory transduction, Transport, Vision"		"Cone-rod dystrophy, Disease mutation"
ENSG00000161681	SHANK1	"SPANK-1, SSTRIP, synamon"	"SH3 and multiple ankyrin repeat domains 1"	Q9Y566	19	50661827-50719450	"Plasma proteins, Predicted intracellular proteins"	"Differentiation, Neurogenesis"		
ENSG00000164853	UNCX	Uncx4.1	"UNC homeobox"	A6NJT0	7	1232907-1237318	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	
ENSG00000187135	VSTM2B		"V-set and transmembrane domain containing 2B"	A6NLU5	19	29526499-29564479	"Predicted intracellular proteins"			
ENSG00000156925	ZIC3	"HTX, HTX1, ZNF203"	"Zic family member 3"	O60481	X	137566142-137577691	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Disease mutation, Heterotaxy"
ENSG00000115266	APC2	APCL	"APC2, WNT signaling pathway regulator"	O95996	19	1446302-1473244	"Disease related genes, Predicted intracellular proteins"	"Wnt signaling pathway"		"Disease mutation, Lissencephaly"
ENSG00000204347	BTBD17	"BTBD17A, LGALS3BPL, TANGO10A"	"BTB domain containing 17"	A6NE02	17	74356416-74361946	"Predicted secreted proteins"			
ENSG00000165985	C1QL3	"C1ql, C1QTNF13, CTRP13, K100"	"Complement C1q like 3"	Q5VWW1	10	16513743-16522005	"Predicted secreted proteins"			
ENSG00000181215	C4orf50	FLJ46481	"Chromosome 4 open reading frame 50"	Q6ZRC1	4	5897373-6018507	"Predicted intracellular proteins"			
ENSG00000167971	CASKIN1	"ANKS5A, KIAA1306"	"CASK interacting protein 1"	Q8WXD9	16	2177180-2196525	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000011332	DPF1	"BAF45b, NEUD4, neuro-d4"	"Double PHD fingers 1"	Q92782	19	38211006-38229714	"Predicted intracellular proteins"	"Neurogenesis, Transcription, Transcription regulation"		
ENSG00000184845	DRD1		"Dopamine receptor D1"	P21728	5	175440039-175444208	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000136928	GABBR2	"GABABR2, GPR51, GPRC3B, HG20"	"Gamma-aminobutyric acid type B receptor subunit 2"	O75899	9	98288082-98709197	"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease mutation, Epilepsy, FDA approved drug targets, Mental retardation"
ENSG00000203737	GPR52		"G protein-coupled receptor 52"	Q9Y2T5	1	174448111-174449198	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000129159	KCNC1	Kv3.1	"Potassium voltage-gated channel subfamily C member 1"	P48547	11	17734774-17856804	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000105642	KCNN1	"hSK1, KCa2.1"	"Potassium calcium-activated channel subfamily N member 1"	Q92952	19	17951293-18000080	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Transport"	"Calmodulin-binding, Ion channel"	"FDA approved drug targets"
ENSG00000167889	MGAT5B	"FLJ25132, GnT-IX, GnT-VB"	"Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B"	Q3V5L5	17	76868456-76950393	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"	
ENSG00000087250	MT3	GIF	"Metallothionein 3"	P25713	16	56589074-56591088	"Predicted intracellular proteins"			
ENSG00000020129	NCDN	"NCDN-1, NCDN-2"	Neurochondrin	Q9UBB6	1	35557473-35567274	"Predicted intracellular proteins"			
ENSG00000166342	NETO1	"BCTL1, BTCL1"	"Neuropilin and tolloid like 1"	Q8TDF5	18	72742314-72868146	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"		Receptor	
ENSG00000169006	NTSR2	NTR2	"Neurotensin receptor 2"	O95665	2	11658178-11670164	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000160781	PAQR6	"FLJ22672, PRdelta"	"Progestin and adipoQ receptor family member 6"	Q6TCH4	1	156243321-156248117	"Predicted intracellular proteins, Predicted membrane proteins"		Receptor	
ENSG00000182698	RESP18		"Regulated endocrine specific protein 18"	Q5W5W9	2	219327409-219333177	"Predicted intracellular proteins"			
ENSG00000063015	SEZ6		"Seizure related 6 homolog"	Q53EL9	17	28954901-29006440	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000179292	TMEM151A	"MGC33486, TMEM151"	"Transmembrane protein 151A"	Q8N4L1	11	66291870-66296664	"Predicted membrane proteins"			
ENSG00000284299	AL590132.1				1	210858125-211134146	"Predicted membrane proteins"			
ENSG00000164929	BAALC		"BAALC, MAP3K1 and KLF4 binding"	Q8WXS3	8	103140710-103230305	"Predicted intracellular proteins"			
ENSG00000205899	BHLHA9	"bHLHa9, BHLHF42"	"Basic helix-loop-helix family member a9"	Q7RTU4	17	1270559-1271460	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease mutation"
ENSG00000166862	CACNG2	"MGC138502, MGC138504, stargazin"	"Calcium voltage-gated channel auxiliary subunit gamma 2"	Q9Y698	22	36563921-36703558	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease mutation, Mental retardation"
ENSG00000144550	CPNE9	KIAA4217	"Copine family member 9"	Q8IYJ1	3	9703807-9729908	"Predicted intracellular proteins"	Differentiation		
ENSG00000106976	DNM1	DNM	"Dynamin 1"	Q05193	9	128191655-128255248	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	Endocytosis	"Hydrolase, Motor protein"	"Disease mutation, Epilepsy"
ENSG00000136541	ERMN	"ERMIN, JN, KIAA1189"	Ermin	Q8TAM6	2	157318625-157327713	"Predicted intracellular proteins"		Actin-binding	
ENSG00000150625	GPM6A	GPM6	"Glycoprotein M6A"	P51674	4	175632934-176002664	"Predicted intracellular proteins, Predicted membrane proteins"	Neurogenesis		
ENSG00000180929	GPR62		"G protein-coupled receptor 62"	Q9BZJ7	3	51955314-51957504	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000112139	MDGA1	"GPIM, MAMDC3"	"MAM domain containing glycosylphosphatidylinositol anchor 1"	Q8NFP4	6	37630679-37699306	"Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein"	
ENSG00000183395	PMCH	MCH	"Pro-melanin concentrating hormone"	P20382	12	102196459-102197845	"Predicted secreted proteins"	"Differentiation, Spermatogenesis"	"Developmental protein, Hormone, Neuropeptide"	
ENSG00000126583	PRKCG	"MGC57564, PKCC, PKCG, SCA14"	"Protein kinase C gamma"	P05129	19	53879190-53907652	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Biological rhythms"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Disease mutation, Neurodegeneration, Spinocerebellar ataxia"
ENSG00000152214	RIT2	"RIBA, RIN"	"Ras like without CAAX 2"	Q99578	18	42743227-43115691	"Predicted intracellular proteins"		"Calmodulin-binding, Hydrolase"	
ENSG00000079215	SLC1A3	"EA6, EAAT1, GLAST"	"Solute carrier family 1 member 3"	P43003	5	36606355-36688334	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Amino-acid transport, Symport, Transport"		"Cancer-related genes, Disease mutation"
ENSG00000067715	SYT1	"P65, SVP65, SYT"	"Synaptotagmin 1"	P21579	12	78863993-79452008	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Differentiation		"Disease mutation"
ENSG00000151952	TMEM132D	"KIAA1944, MOLT, PPP1R153"	"Transmembrane protein 132D"	Q14C87	12	129071725-129903666	"Predicted membrane proteins"			
ENSG00000105696	TMEM59L	"BSMAP, C19orf4"	"Transmembrane protein 59 like"	Q9UK28	19	18607430-18621039	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"			
ENSG00000103310	ZP2	ZPA	"Zona pellucida glycoprotein 2"	Q05996	16	21197450-21214510	"Predicted membrane proteins, Predicted secreted proteins"	Fertilization	Receptor	
ENSG00000121753	ADGRB2	BAI2	"Adhesion G protein-coupled receptor B2"	O60241	1	31727117-31764893	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease mutation"
ENSG00000109956	B3GAT1	"CD57, GlcAT-P, HNK-1, LEU7, NK-1"	"Beta-1,3-glucuronyltransferase 1"	Q9P2W7	11	134378504-134411918	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"		Transferase	
