Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000110887	DAO	DAMOX	"D-amino acid oxidase"	P14920	12	108858932-108901043	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"		Oxidoreductase	Schizophrenia
ENSG00000132702	HAPLN2	BRAL1	"Hyaluronan and proteoglycan link protein 2"	Q9GZV7	1	156619294-156625725	"Predicted secreted proteins"			
ENSG00000176884	GRIN1	"GluN1, NMDAR1"	"Glutamate ionotropic receptor NMDA type subunit 1"	Q05586	9	137138390-137168762	"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, FDA approved drug targets, Mental retardation"
ENSG00000164076	CAMKV	"MGC8407, VACAMKL"	"CaM kinase like vesicle associated"	Q8NCB2	3	49857988-49870222	"Enzymes, Predicted intracellular proteins"		Calmodulin-binding	
ENSG00000214978	GSG1L2		"GSG1 like 2"	A8MUP6	17	9802386-9822071	"Predicted membrane proteins"			
ENSG00000168314	MOBP		"Myelin-associated oligodendrocyte basic protein"	Q13875	3	39467198-39529479	"Predicted intracellular proteins"			
ENSG00000161610	HCRT	"OX, PPOX"	"Hypocretin neuropeptide precursor"	O43612	17	42184060-42185452	"Disease related genes, Predicted secreted proteins"		Neuropeptide	"Disease mutation"
ENSG00000213029	SPHAR		"S-phase response (cyclin related)"	Q15513	1	229304857-229305504	"Predicted intracellular proteins"			
ENSG00000180176	TH	DYT5b	"Tyrosine hydroxylase"	P07101	11	2163929-2171877	"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"	"Catecholamine biosynthesis, Neurotransmitter biosynthesis"	"Monooxygenase, Oxidoreductase"	"Disease mutation, Dystonia, FDA approved drug targets, Parkinson disease, Parkinsonism"
ENSG00000105954	NPVF	"C7orf9, RFRP"	"Neuropeptide VF precursor"	Q9HCQ7	7	25224570-25228486	"Predicted secreted proteins"		Neuropeptide	
ENSG00000147588	PMP2	"FABP8, M-FABP, MP2"	"Peripheral myelin protein 2"	P02689	8	81440326-81447523	"Predicted intracellular proteins"	Transport		"Charcot-Marie-Tooth disease, Disease mutation, Neurodegeneration, Neuropathy"
ENSG00000125462	C1orf61	CROC4	"Chromosome 1 open reading frame 61"	Q13536	1	156404250-156430701	"Predicted intracellular proteins"			
ENSG00000105605	CACNG7		"Calcium voltage-gated channel auxiliary subunit gamma 7"	P62955	19	53909335-53943941	"Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	
ENSG00000124493	GRM4	"GPRC1D, mGlu4, MGLUR4"	"Glutamate metabotropic receptor 4"	Q14833	6	34018645-34155622	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000142538	PTH2	TIP39	"Parathyroid hormone 2"	Q96A98	19	49422414-49423441	"Predicted secreted proteins"		Neuropeptide	
ENSG00000162728	KCNJ9	"GIRK3, Kir3.3"	"Potassium voltage-gated channel subfamily J member 9"	Q92806	1	160081570-160090563	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	
ENSG00000183379	SYNDIG1L	"capucin, IFITMD4, TMEM90A"	"Synapse differentiation inducing 1 like"	A6NDD5	14	74405893-74426102	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000165566	AMER2	"FAM123A, FLJ25477"	"APC membrane recruitment protein 2"	Q8N7J2	13	25161684-25172288	"Predicted intracellular proteins"	"Wnt signaling pathway"		
ENSG00000123560	PLP1	"GPM6C, PLP, SPG2"	"Proteolipid protein 1"	P60201	X	103773718-103792619	"Cancer-related genes, Disease related genes, Predicted membrane proteins"			"Cancer-related genes, Disease mutation, Hereditary spastic paraplegia, Leukodystrophy, Neurodegeneration"
ENSG00000136535	TBR1		"T-box, brain 1"	Q16650	2	161416094-161425870	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Autism spectrum disorder, Disease mutation, Mental retardation"
ENSG00000204278	TMEM235		"Transmembrane protein 235"	A6NFC5	17	78231310-78240987	"Predicted membrane proteins"			
ENSG00000187730	GABRD		"Gamma-aminobutyric acid type A receptor delta subunit"	O14764	1	2019298-2030758	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000172020	GAP43	"B-50, PP46"	"Growth associated protein 43"	P17677	3	115623324-115721490	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Differentiation, Growth regulation, Neurogenesis"	"Calmodulin-binding, Developmental protein"	
ENSG00000148826	NKX6-2	"GTX, NKX6.1, NKX6B"	"NK6 homeobox 2"	Q9C056	10	132783179-132786052	"Disease related genes, Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding, Repressor"	"Disease mutation, Leukodystrophy, Neurodegeneration"
ENSG00000174521	TTC9B	FLJ30373	"Tetratricopeptide repeat domain 9B"	Q8N6N2	19	40216058-40218399	"Predicted secreted proteins"			
ENSG00000110148	CCKBR		"Cholecystokinin B receptor"	P32239	11	6259736-6272127	"Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes, FDA approved drug targets"
ENSG00000198822	GRM3	"GPRC1C, mGlu3, MGLUR3"	"Glutamate metabotropic receptor 3"	Q14832	7	86643914-86864884	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000178394	HTR1A	"5-HT1A, ADRB2RL1, ADRBRL1"	"5-hydroxytryptamine receptor 1A"	P08908	5	63960356-63962507	"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"	Behavior	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000110427	KIAA1549L	"C11orf41, C11orf69, G2, MGC34830"	"KIAA1549 like"	Q6ZVL6	11	33376466-33674102	"Predicted membrane proteins"			
ENSG00000074317	SNCB		"Synuclein beta"	Q16143	5	176620084-176630556	"Predicted intracellular proteins, Transporters"			
ENSG00000134343	ANO3	"C11orf25, DYT23, GENX-3947, TMEM16C"	"Anoctamin 3"	Q9BYT9	11	26309599-26663288	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"		"Disease mutation, Dystonia"
ENSG00000145863	GABRA6		"Gamma-aminobutyric acid type A receptor alpha6 subunit"	Q16445	5	161547063-161702593	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"
ENSG00000184486	POU3F2	"BRN2, OCT7, OTF7, POUF3"	"POU class 3 homeobox 2"	P20265	6	98834592-98839470	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, DNA-binding"	
ENSG00000022355	GABRA1	EJM5	"Gamma-aminobutyric acid type A receptor alpha1 subunit"	P14867	5	161847063-161899981	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000101180	HRH3	GPCR97	"Histamine receptor H3"	Q9Y5N1	20	62214970-62220267	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000168135	KCNJ4	"HIR, hIRK2, HRK1, IRK3, Kir2.3"	"Potassium voltage-gated channel subfamily J member 4"	P48050	22	38426327-38455199	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	
ENSG00000132639	SNAP25	"bA416N4.2, dJ1068F16.2, RIC-4, RIC4, SEC9, SNAP, SNAP-25"	"Synaptosome associated protein 25"	P60880	20	10218830-10307418	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Transporters"			"Congenital myasthenic syndrome, Disease mutation, FDA approved drug targets, Mental retardation"
ENSG00000070808	CAMK2A	"CAMKA, CaMKIINalpha, KIAA0968"	"Calcium/calmodulin dependent protein kinase II alpha"	Q9UQM7	5	150219491-150290291	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Calmodulin-binding, Kinase, Serine/threonine-protein kinase, Transferase"	"Disease mutation, Mental retardation"
ENSG00000175874	CREG2		"Cellular repressor of E1A stimulated genes 2"	Q8IUH2	2	101345551-101387595	"Predicted secreted proteins"			
ENSG00000186297	GABRA5		"Gamma-aminobutyric acid type A receptor alpha5 subunit"	P31644	15	26866363-26949207	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000213401	MAGEA12	"CT1.12, MAGE12"	"MAGE family member A12"	P43365	X	152733779-152737669	"Predicted intracellular proteins"		"Tumor antigen"	
ENSG00000198914	POU3F3	"BRN1, OTF8"	"POU class 3 homeobox 3"	P20264	2	104855511-104858574	"Predicted intracellular proteins, Transcription factors"	"Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease mutation, Mental retardation"
ENSG00000259803	SLC22A31		"Solute carrier family 22 member 31"		16	89195761-89201664	"Predicted membrane proteins"			
ENSG00000147246	HTR2C	"5-HT2C, 5HTR2C, HTR1C"	"5-hydroxytryptamine receptor 2C"	P28335	X	114584078-114910061	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"	Behavior	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000130540	SULT4A1	"hBR-STL-1, SULTX3"	"Sulfotransferase family 4A member 1"	Q9BR01	22	43824509-43862503	"Predicted intracellular proteins"	"Lipid metabolism, Steroid metabolism"	Transferase	
ENSG00000157152	SYN2	"SYNII, SYNIIa, SYNIIb"	"Synapsin II"		3	12004402-12191400	"Predicted intracellular proteins"			
ENSG00000213760	ATP6V1G2	"ATP6G, ATP6G2, Em:AC004181.3, NG38, Vma10"	"ATPase H+ transporting V1 subunit G2"	O95670	6	31544462-31548427	"Predicted intracellular proteins"	"Hydrogen ion transport, Ion transport, Transport"		
ENSG00000146360	GPR6		"G protein-coupled receptor 6"	P46095	6	109978256-109980718	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000273079	GRIN2B	"GluN2B, NMDAR2B"	"Glutamate ionotropic receptor NMDA type subunit 2B"	Q13224	12	13437942-13981957	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets, Mental retardation"
ENSG00000166159	LRTM2		"Leucine rich repeats and transmembrane domains 2"	Q8N967	12	1820267-1836752	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000116147	TNR		"Tenascin R"	Q92752	1	175315194-175743770	"Predicted intracellular proteins, Predicted secreted proteins"	"Cell adhesion"		
ENSG00000006116	CACNG3		"Calcium voltage-gated channel auxiliary subunit gamma 3"	O60359	16	24255553-24362801	"Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	
ENSG00000127585	FBXL16	"C16orf22, Fbl16, MGC33974"	"F-box and leucine rich repeat protein 16"	Q8N461	16	692498-705829	"Predicted intracellular proteins"	"Ubl conjugation pathway"		
ENSG00000170075	GPR37L1	ETBR-LP-2	"G protein-coupled receptor 37 like 1"	O60883	1	202122858-202133592	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000155980	KIF5A	"D12S1889, MY050, NKHC, SPG10"	"Kinesin family member 5A"	Q12840	12	57549998-57586632	"Disease related genes, Predicted intracellular proteins"		"Motor protein"	"Amyotrophic lateral sclerosis, Disease mutation, Epilepsy, Hereditary spastic paraplegia, Neurodegeneration"
ENSG00000122584	NXPH1		"Neurexophilin 1"	P58417	7	8433955-8752963	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000188011	RTP5	"C2orf85, CXXC11, FLJ33590, Z3CXXC5"	"Receptor transporter protein 5 (putative)"	Q14D33	2	241869600-241873823	"Predicted membrane proteins"			
ENSG00000230778	ANKRD63		"Ankyrin repeat domain 63"	C9JTQ0	15	40281444-40282586	"Predicted intracellular proteins"			
ENSG00000162975	KCNF1	"IK8, KCNF, kH1, Kv5.1"	"Potassium voltage-gated channel modifier subfamily F member 1"	Q9H3M0	2	10911937-10914225	"Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	
ENSG00000165588	OTX2		"Orthodenticle homeobox 2"	P32243	14	56799905-56810479	"Disease related genes, Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"	"Disease mutation, Microphthalmia"
ENSG00000101327	PDYN	"ADCA, PENKB, SCA23"	Prodynorphin	P01213	20	1978757-1994285	"Disease related genes, Potential drug targets, Predicted secreted proteins, Transporters"		"Endorphin, Neuropeptide, Neurotransmitter, Opioid peptide"	"Disease mutation, Neurodegeneration, Spinocerebellar ataxia"
ENSG00000015592	STMN4	RB3	"Stathmin 4"	Q9H169	8	27235323-27258420	"Predicted intracellular proteins"			
ENSG00000008056	SYN1		"Synapsin I"	P17600	X	47571898-47619943	"Disease related genes, Plasma proteins, Predicted intracellular proteins"		Actin-binding	Epilepsy
ENSG00000177108	ZDHHC22	C14orf59	"Zinc finger DHHC-type containing 22"	Q8N966	14	77131270-77142734	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Acyltransferase, Transferase"	
ENSG00000152977	ZIC1	"ZIC, ZNF201"	"Zic family member 1"	Q15915	3	147393422-147510293	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Craniosynostosis, Disease mutation"
ENSG00000165370	GPR101		"G protein-coupled receptor 101"	Q96P66	X	137030148-137031674	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Disease mutation"
ENSG00000110786	PTPN5	"PTPSTEP, STEP, STEP61"	"Protein tyrosine phosphatase, non-receptor type 5"	P54829	11	18727928-18792721	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Protein phosphatase"	
ENSG00000104888	SLC17A7	"BNPI, VGLUT1"	"Solute carrier family 17 member 7"	Q9P2U7	19	49429401-49442360	"Predicted membrane proteins, Transporters"	"Ion transport, Neurotransmitter transport, Sodium transport, Symport, Transport"		
ENSG00000165643	SOHLH1	"bA100C15.3, bHLHe80, C9orf157, NOHLH, SPATA27, TEB2"	"Spermatogenesis and oogenesis specific basic helix-loop-helix 1"	Q5JUK2	9	135693407-135699528	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease mutation"
ENSG00000173714	WFIKKN2	"WFDC20B, WFIKKNRP"	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"	Q8TEU8	17	50834650-50842348	"Predicted intracellular proteins, Predicted secreted proteins"		"Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor, Serine protease inhibitor"	
ENSG00000043355	ZIC2	HPE5	"Zic family member 2"	O95409	13	99981772-99986773	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Repressor"	"Disease mutation, Holoprosencephaly"
ENSG00000132692	BCAN	"BEHAB, CSPG7, MGC13038"	Brevican	Q96GW7	1	156641390-156659532	"Plasma proteins, Predicted secreted proteins"			
ENSG00000104327	CALB1	CALB	"Calbindin 1"	P05937	8	90058608-90095475	"Predicted intracellular proteins"			
ENSG00000152910	CNTNAP4	"CASPR4, KIAA1763"	"Contactin associated protein like 4"	Q9C0A0	16	76277278-76559238	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000152034	MCHR2	"GPR145, MCH2, MCH2R, SLT"	"Melanin concentrating hormone receptor 2"	Q969V1	6	99919910-99994247	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000154146	NRGN	RC3	Neurogranin	Q92686	11	124739846-124747210	"Predicted intracellular proteins"		Calmodulin-binding	
ENSG00000144227	NXPH2	NPH2	"Neurexophilin 2"	O95156	2	138670772-138780348	"Predicted secreted proteins"			
ENSG00000240764	PCDHGC5	PCDH-GAMMA-C5	"Protocadherin gamma subfamily C, 5"	Q9Y5F6	5	141489121-141512979	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000198883	PNMA5	KIAA1934	"PNMA family member 5"	Q96PV4	X	152988824-152994127	"Predicted intracellular proteins"			
ENSG00000196767	POU3F4	"BRN4, DFN3, DFNX2, OTF9"	"POU class 3 homeobox 4"	P49335	X	83508261-83512127	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Deafness, Disease mutation, Non-syndromic deafness"
ENSG00000153820	SPHKAP	SKIP	"SPHK1 interactor, AKAP domain containing"	Q2M3C7	2	227979950-228181645	"Predicted intracellular proteins"			
ENSG00000099365	STX1B	"STX1B1, STX1B2"	"Syntaxin 1B"	P61266	16	30989256-31010661	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Neurotransmitter transport, Transport"		"Disease mutation, Epilepsy"
ENSG00000205116	TMEM88B		"Transmembrane protein 88B"	A6NKF7	1	1426128-1427787	"Predicted membrane proteins"			
ENSG00000284849	AC079341.3				4	121758930-121765185	"Predicted intracellular proteins"			
ENSG00000185742	C11orf87	"LOC399947, LOH11CR1A, NEURIM1"	"Chromosome 11 open reading frame 87"	Q6NUJ2	11	109422120-109429114	"Predicted membrane proteins"			
ENSG00000172508	CARNS1	"ATPGD1, KIAA1394"	"Carnosine synthase 1"	A5YM72	11	67414968-67425607	"Enzymes, Predicted intracellular proteins"		Ligase	
ENSG00000101958	GLRA2	GLR	"Glycine receptor alpha 2"	P23416	X	14529298-14731812	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"
ENSG00000146005	PSD2	"DKFZp761B0514, EFA6C"	"Pleckstrin and Sec7 domain containing 2"	Q9BQI7	5	139795821-139844466	"Predicted intracellular proteins"			
ENSG00000091664	SLC17A6	"DNPI, VGLUT2"	"Solute carrier family 17 member 6"	Q9P2U8	11	22338097-22379503	"Predicted membrane proteins, Transporters"	"Ion transport, Neurotransmitter transport, Sodium transport, Symport, Transport"		
ENSG00000142319	SLC6A3	"DAT, DAT1"	"Solute carrier family 6 member 3"	Q01959	5	1392790-1445430	"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"	"Neurotransmitter transport, Symport, Transport"		"Disease mutation, Dystonia, FDA approved drug targets, Neurodegeneration, Parkinsonism"
ENSG00000139287	TPH2	"FLJ37295, NTPH"	"Tryptophan hydroxylase 2"	Q8IWU9	12	71938846-72186618	"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"	"Serotonin biosynthesis"	"Monooxygenase, Oxidoreductase"	"Disease mutation, FDA approved drug targets"
ENSG00000174963	ZIC4		"Zic family member 4"	Q8N9L1	3	147386046-147406860	"Predicted intracellular proteins, Transcription factors"		DNA-binding	
ENSG00000139899	CBLN3		"Cerebellin 3 precursor"	Q6UW01	14	24426532-24430954	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000261210	CLEC19A		"C-type lectin domain containing 19A"	Q6UXS0	16	19285739-19322145	"Predicted secreted proteins"			
ENSG00000168993	CPLX1	CPX-I	"Complexin 1"	O14810	4	784957-826198	"Predicted intracellular proteins"	"Exocytosis, Neurotransmitter transport, Transport"		"Disease mutation, Epilepsy"
ENSG00000196361	ELAVL3	"DKFZp547J036, HUC, HUCL, MGC20653, PLE21"	"ELAV like RNA binding protein 3"	Q14576	19	11451326-11481046	"Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein, RNA-binding"	
ENSG00000221946	FXYD7		"FXYD domain containing ion transport regulator 7"	P58549	19	35143250-35154301	"Predicted membrane proteins"	"Ion transport, Transport"	"Ion channel"	
ENSG00000239961	LILRA4	"CD85g, ILT7"	"Leukocyte immunoglobulin like receptor A4"	P59901	19	54333185-54339150	"CD markers, Predicted membrane proteins"	"Immunity, Innate immunity"	Receptor	
ENSG00000151615	POU4F2	"Brn-3b, BRN3B"	"POU class 4 homeobox 2"	Q12837	4	146638893-146642474	"Predicted intracellular proteins, Transcription factors"	"Apoptosis, Differentiation, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Repressor"	
ENSG00000079841	RIMS1	"CORD7, KIAA0340, RAB3IP2, RIM, RIM1"	"Regulating synaptic membrane exocytosis 1"	Q86UR5	6	71886703-72403143	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Differentiation, Exocytosis, Neurotransmitter transport, Sensory transduction, Transport, Vision"		"Cone-rod dystrophy, Disease mutation"
ENSG00000161681	SHANK1	"SPANK-1, SSTRIP, synamon"	"SH3 and multiple ankyrin repeat domains 1"	Q9Y566	19	50661827-50719450	"Plasma proteins, Predicted intracellular proteins"	"Differentiation, Neurogenesis"		
ENSG00000148482	SLC39A12	FLJ30499	"Solute carrier family 39 member 12"	Q504Y0	10	17951839-18043292	"Predicted membrane proteins, Transporters"	"Ion transport, Transport, Zinc transport"		
ENSG00000164853	UNCX	Uncx4.1	"UNC homeobox"	A6NJT0	7	1232907-1237318	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	
ENSG00000187135	VSTM2B		"V-set and transmembrane domain containing 2B"	A6NLU5	19	29526499-29564479	"Predicted intracellular proteins"			
ENSG00000156925	ZIC3	"HTX, HTX1, ZNF203"	"Zic family member 3"	O60481	X	137566142-137577691	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Disease mutation, Heterotaxy"
ENSG00000115266	APC2	APCL	"APC2, WNT signaling pathway regulator"	O95996	19	1446302-1473244	"Disease related genes, Predicted intracellular proteins"	"Wnt signaling pathway"		"Disease mutation, Lissencephaly"
ENSG00000156219	ART3		"ADP-ribosyltransferase 3"	Q13508	4	76011184-76112802	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"	
ENSG00000204347	BTBD17	"BTBD17A, LGALS3BPL, TANGO10A"	"BTB domain containing 17"	A6NE02	17	74356416-74361946	"Predicted secreted proteins"			
ENSG00000165985	C1QL3	"C1ql, C1QTNF13, CTRP13, K100"	"Complement C1q like 3"	Q5VWW1	10	16513743-16522005	"Predicted secreted proteins"			
